Tanggal ;Jumlah_Pakan ;Nama_Komposisi_Pakan
2021-12-05;50;komposisi IV
2021-12-06;50;komposisi IV
2021-12-07;50;komposisi IV
2021-12-08;50;komposisi IV
2021-12-09;50;komposisi IV
2021-12-10;50;komposisi IV
2021-12-11;50;komposisi IV
2021-12-12;50;komposisi IV
2021-12-13;50;komposisi IV
2021-12-14;50;komposisi IV
2021-12-15;50;komposisi IV
2021-12-16;50;komposisi IV
2021-12-17;50;komposisi IV
2021-12-18;50;komposisi IV
2021-12-19;50;komposisi IV
2021-12-20;50;komposisi IV
2021-12-21;50;komposisi IV
2021-12-22;50;komposisi IV
2021-12-23;50;komposisi IV
2021-12-24;50;komposisi IV
2021-12-25;50;komposisi IV
2021-12-26;50;komposisi IV
2021-12-27;50;komposisi IV
2021-12-28;50;komposisi IV
2021-12-29;50;komposisi IV
2021-12-30;50;komposisi IV
2021-12-31;50;komposisi IV
2022-01-01;50;komposisi I 
2022-01-02;50;komposisi I 
2022-01-03;50;komposisi I 
2022-01-04;50;komposisi I 
2022-01-05;50;komposisi I 
2022-01-06;50;komposisi I 
2022-01-07;50;komposisi I 
2022-01-08;50;komposisi I 
2022-01-09;50;komposisi I 
2022-01-10;50;komposisi I 
2022-01-11;50;komposisi I 
2022-01-12;50;komposisi I 
2022-01-13;50;komposisi I 
2022-01-14;50;komposisi I 
2022-01-15;50;komposisi I 
2022-01-16;50;komposisi I 
2022-01-17;50;komposisi I 
2022-01-18;50;komposisi I 
2022-01-19;50;komposisi I 
2022-01-20;50;komposisi I 
2022-01-21;50;komposisi I 
2022-01-22;50;komposisi I 
2022-01-23;50;komposisi I 
2022-01-24;50;komposisi I 
2022-01-25;50;komposisi I 
2022-01-26;50;komposisi I 
2022-01-27;50;komposisi I 
2022-01-28;50;komposisi I 
2022-01-29;50;komposisi I 
2022-01-30;50;komposisi I 
2022-01-31;50;komposisi I 
2022-02-01;50;Komposisi II
2022-02-02;50;Komposisi II
2022-02-03;50;Komposisi II
2022-02-04;50;Komposisi II
2022-02-05;50;Komposisi II
2022-02-06;50;Komposisi II
2022-02-07;50;Komposisi II
2022-02-08;50;Komposisi II
2022-02-09;50;Komposisi II
2022-02-10;50;Komposisi II
2022-02-11;50;Komposisi II
2022-02-12;50;Komposisi II
2022-02-13;50;Komposisi II
2022-02-14;50;Komposisi II
2022-02-15;50;Komposisi II
2022-02-16;50;Komposisi II
2022-02-17;50;Komposisi II
2022-02-18;50;Komposisi II
2022-02-19;50;Komposisi II
2022-02-20;50;Komposisi II
2022-02-21;50;Komposisi II
2022-02-22;50;Komposisi II
2022-02-23;50;Komposisi II
2022-02-24;50;Komposisi II
2022-02-25;50;Komposisi II
2022-02-26;50;Komposisi II
2022-02-27;50;Komposisi II
2022-02-28;50;Komposisi II
2022-03-01;50;Komposisi III
2022-03-02;50;Komposisi III
2022-03-03;50;Komposisi III
2022-03-04;50;Komposisi III
2022-03-05;50;Komposisi III
2022-03-06;50;Komposisi III
2022-03-07;50;Komposisi III
2022-03-08;50;Komposisi III
2022-03-09;50;Komposisi III
2022-03-10;50;Komposisi III
2022-03-11;50;Komposisi III
2022-03-12;50;Komposisi III
2022-03-13;50;Komposisi III
2022-03-14;50;Komposisi III
2022-03-15;50;Komposisi III
2022-03-16;50;Komposisi III
2022-03-17;50;Komposisi III
2022-03-18;50;Komposisi III
2022-03-19;50;Komposisi III
2022-03-20;50;Komposisi III
2022-03-21;50;Komposisi III
2022-03-22;50;Komposisi III
2022-03-23;50;Komposisi III
2022-03-24;50;Komposisi III
2022-03-25;50;Komposisi III
2022-03-26;50;Komposisi III
2022-03-27;50;Komposisi III
2022-03-28;50;Komposisi III
2022-03-29;50;Komposisi III
2022-03-30;50;Komposisi III
2022-03-31;50;Komposisi III
2022-04-01;50;Komposisi IV
2022-04-02;50;Komposisi IV
2022-04-03;50;Komposisi IV
2022-04-04;50;Komposisi IV
2022-04-05;50;Komposisi IV
2022-04-06;50;Komposisi IV
2022-04-07;50;Komposisi IV
2022-04-08;50;Komposisi IV
